Id,Category
0,1
1,4
2,5
3,5
4,5
5,7
6,8
7,4
8,6
9,3
10,8
11,3
12,3
13,4
14,5
15,9
16,3
17,8
18,3
19,5
20,3
21,1
22,9
23,4
24,2
25,2
26,6
27,6
28,0
29,3
30,9
31,2
32,2
33,5
34,8
35,3
36,2
37,4
38,6
39,6
40,9
41,0
42,4
43,4
44,1
45,6
46,8
47,0
48,3
49,2
50,8
51,4
52,8
53,1
54,6
55,2
56,7
57,9
58,1
59,7
60,2
61,3
62,0
63,0
64,6
65,6
66,5
67,7
68,1
69,5
70,4
71,3
72,7
73,6
74,5
75,4
76,1
77,4
78,1
79,3
80,1
81,6
82,9
83,6
84,6
85,5
86,6
87,0
88,5
89,5
90,2
91,1
92,6
93,9
94,0
95,3
96,5
97,3
98,7
99,7
100,2
101,5
102,6
103,7
104,6
105,2
106,7
107,4
108,9
109,2
110,0
111,9
112,9
113,5
114,3
115,3
116,2
117,4
118,5
119,1
120,2
121,1
122,7
123,4
124,1
125,0
126,6
127,9
128,3
129,8
130,0
131,2
132,1
133,9
134,4
135,6
136,4
137,3
138,7
139,7
140,4
141,5
142,7
143,9
144,9
145,2
146,5
147,5
148,4
149,3
150,5
151,0
152,1
153,0
154,8
155,7
156,0
157,9
158,0
159,0
160,4
161,7
162,3
163,8
164,7
165,3
166,4
167,6
168,8
169,0
170,2
171,3
172,3
173,0
174,3
175,3
176,7
177,1
178,4
179,0
180,2
181,1
182,9
183,0
184,3
185,1
186,6
187,6
188,1
189,9
190,0
191,7
192,6
193,4
194,2
195,1
196,0
197,3
198,6
199,6
200,0
201,6
202,8
203,9
204,8
205,5
206,5
207,5
208,6
209,2
210,4
211,6
212,5
213,3
214,1
215,0
216,3
217,7
218,5
219,2
220,0
221,7
222,2
223,6
224,7
225,2
226,7
227,5
228,0
229,5
230,0
231,3
232,0
233,8
234,4
235,2
236,9
237,1
238,1
239,6
240,0
241,5
242,7
243,0
244,0
245,4
246,3
247,1
248,2
249,2
250,9
251,0
252,3
253,0
254,8
255,9
256,0
257,8
258,8
259,9
260,9
261,5
262,7
263,1
264,9
265,8
266,7
267,9
268,2
269,2
270,6
271,8
272,1
273,1
274,3
275,3
276,9
277,9
278,7
279,0
280,5
281,6
282,4
283,5
284,7
285,2
286,2
287,1
288,2
289,7
290,4
291,0
292,8
293,9
294,4
295,0
296,7
297,9
298,1
299,0
300,0
301,3
302,1
303,8
304,1
305,4
306,0
307,1
308,0
309,0
310,1
311,4
312,2
313,0
314,1
315,3
316,7
317,4
318,5
319,9
320,1
321,1
322,7
323,5
324,1
325,8
326,6
327,1
328,7
329,2
330,9
331,3
332,2
333,0
334,5
335,1
336,3
337,3
338,4
339,8
340,2
341,2
342,1
343,3
344,0
345,3
346,0
347,4
